"","age","sex","G1.x","G2.x","G3.x","absences.x","failures.x","schoolsup.x","paid.x","famsup.x","activities.x","studytime.x","higher.x"
"36",15,"F",7,6,"HighFail",10,"1","no","yes","yes","no","2","yes"
"37",15,"F",11,13,"LowPass",2,"1","no","yes","yes","no","2","yes"
"38",15,"F",10,10,"LowFail",0,"1","yes","no","no","yes","2","yes"
"39",16,"F",10,10,"LowPass",6,"1","no","yes","yes","yes","4","yes"
"40",16,"F",7,10,"LowFail",0,"2","yes","no","yes","yes","3","yes"
"41",16,"F",10,11,"LowPass",6,"1","no","no","yes","yes","2","yes"
"42",16,"F",8,9,"LowFail",8,"1","no","yes","no","yes","2","yes"
"43",16,"F",12,13,"HighPass",0,"1","yes","yes","yes","no","2","yes"
"44",16,"F",7,7,"HighFail",5,"4","no","yes","yes","no","2","yes"
"45",16,"F",4,0,"HighFail",0,"3","no","no","yes","yes","1","yes"
"46",16,"F",12,11,"LowPass",16,"1","no","no","no","no","1","yes"
"47",16,"F",9,9,"LowFail",6,"1","no","yes","yes","no","1","yes"
"48",16,"F",10,8,"LowPass",6,"1","yes","no","yes","yes","1","yes"
"49",16,"F",8,7,"HighFail",0,"4","no","no","no","yes","2","yes"
"50",16,"F",8,9,"LowFail",2,"1","no","yes","yes","no","2","yes"
"51",16,"F",13,12,"LowPass",20,"1","no","no","no","no","1","yes"
"52",16,"F",10,13,"LowPass",6,"2","yes","no","no","yes","2","yes"
"53",16,"F",6,7,"HighFail",0,"1","no","yes","yes","no","2","yes"
"54",16,"F",8,7,"LowFail",0,"1","no","yes","no","no","2","yes"
"55",16,"F",11,11,"LowPass",0,"1","no","yes","no","no","4","yes"
"56",16,"F",13,13,"LowPass",2,"1","no","yes","no","yes","2","yes"
"57",16,"F",6,9,"LowFail",14,"3","no","yes","yes","no","1","yes"
"58",16,"F",8,10,"LowFail",6,"1","yes","yes","yes","yes","2","yes"
"59",16,"F",11,12,"LowPass",10,"1","no","no","no","no","2","yes"
"60",16,"F",16,16,"HighPass",2,"1","yes","no","no","no","2","yes"
"61",16,"F",7,7,"HighFail",4,"1","yes","yes","yes","no","4","yes"
"62",16,"F",12,13,"LowPass",14,"1","no","yes","yes","no","2","yes"
"63",16,"F",6,10,"LowFail",4,"1","no","yes","yes","no","2","yes"
"64",16,"F",7,7,"LowFail",0,"1","no","yes","yes","no","3","yes"
"65",16,"F",8,10,"LowFail",4,"1","yes","no","yes","yes","2","yes"
"66",16,"F",11,12,"LowPass",54,"1","yes","yes","yes","yes","2","yes"
"67",16,"F",5,5,"HighFail",12,"1","no","no","yes","no","2","yes"
"68",16,"F",14,15,"HighPass",0,"1","no","yes","no","no","2","yes"
"69",16,"F",15,16,"HighPass",2,"1","no","no","yes","no","2","yes"
"70",16,"F",11,10,"LowFail",0,"1","no","yes","yes","yes","2","yes"
"71",16,"F",16,16,"HighPass",2,"1","no","no","yes","yes","2","yes"
"72",16,"F",7,9,"LowFail",0,"1","yes","yes","yes","no","3","yes"
"73",16,"F",10,9,"LowFail",2,"1","yes","yes","yes","yes","3","yes"
"74",16,"F",11,12,"LowPass",10,"1","no","yes","no","yes","2","yes"
"75",16,"F",14,14,"HighPass",0,"1","no","yes","yes","no","2","yes"
"76",16,"F",14,14,"HighPass",4,"1","no","no","yes","no","1","yes"
"77",16,"F",11,14,"HighPass",6,"1","no","no","no","yes","1","yes"
"78",16,"F",13,14,"HighPass",6,"1","no","yes","yes","yes","3","yes"
"79",16,"F",13,13,"HighPass",0,"1","no","no","yes","yes","3","yes"
"80",16,"F",11,12,"LowPass",12,"1","no","no","yes","no","2","yes"
"81",16,"F",14,14,"LowPass",2,"1","no","no","no","no","1","yes"
"82",16,"F",8,10,"LowFail",4,"1","yes","no","no","yes","2","yes"
"83",16,"F",8,7,"HighFail",4,"1","no","no","yes","no","2","yes"
"84",16,"F",10,10,"LowFail",14,"2","yes","no","no","yes","2","yes"
"85",16,"F",7,10,"LowPass",25,"2","no","no","yes","yes","2","yes"
"86",16,"F",12,13,"LowPass",2,"1","no","yes","yes","no","2","yes"
"87",16,"F",13,13,"LowPass",2,"1","no","yes","yes","yes","2","yes"
"88",16,"F",7,6,"HighFail",4,"1","yes","no","yes","no","2","yes"
"89",16,"F",10,11,"LowFail",4,"1","no","yes","yes","yes","2","yes"
"90",16,"F",16,15,"HighPass",2,"1","no","no","yes","yes","2","yes"
"91",16,"F",14,15,"HighPass",4,"1","no","yes","yes","yes","3","yes"
"92",16,"F",9,9,"LowFail",0,"1","no","yes","yes","no","2","yes"
"93",17,"F",9,10,"LowFail",4,"1","no","yes","yes","no","2","yes"
"94",17,"F",13,11,"LowPass",2,"1","no","no","no","yes","2","yes"
"95",17,"F",6,6,"HighFail",2,"1","no","no","yes","yes","2","yes"
"96",17,"F",7,6,"HighFail",18,"1","no","no","yes","no","1","yes"
"97",17,"F",12,14,"HighPass",7,"1","no","no","yes","no","3","yes"
"98",17,"F",11,11,"LowFail",0,"1","no","yes","yes","yes","3","yes"
"99",17,"F",7,7,"HighFail",6,"1","no","yes","yes","yes","3","yes"
"100",17,"F",11,11,"LowPass",3,"1","no","yes","yes","yes","3","yes"
"101",17,"F",18,18,"HighPass",6,"1","no","yes","yes","no","4","yes"
"102",17,"F",8,10,"LowFail",12,"1","no","yes","yes","no","1","yes"
"103",17,"F",12,10,"LowPass",10,"1","no","no","no","yes","3","yes"
"104",17,"F",9,8,"HighFail",0,"2","no","no","yes","no","2","yes"
"105",17,"F",8,7,"LowFail",6,"1","no","no","yes","no","2","yes"
"106",17,"F",13,13,"LowPass",23,"1","no","yes","yes","no","2","yes"
"107",17,"F",6,5,"HighFail",6,"1","yes","no","yes","no","2","yes"
"108",17,"F",5,5,"HighFail",4,"1","no","no","yes","no","2","yes"
"109",17,"F",6,5,"HighFail",0,"2","no","no","yes","yes","3","yes"
"110",17,"F",8,8,"LowFail",0,"1","no","no","no","yes","2","yes"
"111",17,"F",9,9,"LowFail",4,"1","no","yes","yes","no","2","yes"
"112",17,"F",13,12,"LowPass",6,"1","no","yes","yes","no","3","yes"
"113",17,"F",9,10,"LowFail",4,"1","no","yes","yes","yes","3","yes"
"114",17,"F",10,9,"LowPass",4,"1","no","no","yes","no","2","yes"
"115",17,"F",11,9,"LowFail",12,"1","no","no","yes","no","2","yes"
"116",17,"F",7,7,"LowFail",3,"1","no","yes","yes","no","1","yes"
"117",17,"F",10,10,"LowFail",2,"1","no","yes","yes","no","2","yes"
"118",17,"F",16,17,"HighPass",0,"1","no","no","yes","yes","2","yes"
"119",17,"F",12,14,"HighPass",1,"1","no","no","yes","no","3","yes"
"120",17,"F",17,17,"HighPass",0,"1","no","yes","yes","yes","4","yes"
"121",17,"F",16,15,"HighPass",10,"1","no","no","no","yes","2","yes"
"122",17,"F",7,8,"HighFail",0,"1","no","yes","yes","no","2","yes"
"123",17,"F",10,9,"LowFail",4,"1","no","no","no","yes","3","yes"
"124",17,"F",10,9,"LowFail",28,"2","no","yes","yes","no","3","yes"
"125",17,"F",16,15,"HighPass",16,"1","no","no","no","no","3","yes"
"126",17,"F",15,12,"HighPass",0,"1","no","yes","yes","no","3","yes"
"127",17,"F",13,15,"HighPass",0,"1","no","yes","yes","yes","3","yes"
"128",17,"F",15,15,"HighPass",0,"1","no","yes","yes","no","3","yes"
"129",17,"F",6,6,"HighFail",22,"3","no","yes","no","no","2","yes"
"130",17,"F",11,11,"LowPass",0,"1","yes","no","yes","no","1","yes"
"131",17,"F",18,18,"HighPass",24,"2","no","no","yes","no","1","yes"
"132",17,"F",10,9,"LowFail",7,"1","no","yes","yes","yes","3","yes"
"133",17,"F",10,9,"LowFail",7,"1","no","yes","yes","yes","3","yes"
"134",17,"F",14,14,"HighPass",4,"1","no","yes","yes","no","3","yes"
"135",17,"F",16,15,"HighPass",0,"1","no","no","no","no","3","yes"
"136",17,"F",10,13,"LowPass",12,"1","no","no","yes","no","1","yes"
"137",17,"F",12,12,"LowPass",6,"1","yes","yes","yes","no","2","yes"
"138",17,"F",10,9,"HighFail",0,"1","no","yes","no","yes","4","yes"
"139",17,"F",14,15,"HighPass",0,"1","no","no","no","yes","2","yes"
"140",17,"F",14,15,"HighPass",2,"1","no","yes","no","no","2","yes"
"141",17,"F",9,9,"LowFail",56,"1","no","no","yes","yes","2","yes"
"142",17,"F",14,12,"LowPass",6,"1","no","yes","yes","yes","4","yes"
"143",17,"F",13,13,"HighPass",14,"1","no","no","no","yes","2","yes"
"144",18,"F",10,9,"LowFail",75,"1","no","no","no","no","2","no"
"145",18,"F",9,8,"LowFail",6,"4","no","no","yes","yes","1","yes"
"146",18,"F",6,0,"HighFail",0,"1","no","no","yes","no","2","no"
"147",18,"F",10,9,"HighFail",0,"1","no","no","no","yes","4","yes"
"148",18,"F",9,8,"HighFail",16,"2","no","no","no","yes","2","yes"
"149",18,"F",12,10,"LowPass",8,"1","no","yes","no","yes","2","yes"
"150",18,"F",12,12,"LowPass",1,"1","no","yes","yes","yes","4","yes"
"151",18,"F",5,6,"HighFail",6,"1","yes","no","no","no","2","yes"
"152",18,"F",8,9,"LowFail",4,"1","yes","no","no","yes","2","yes"
"153",18,"F",8,9,"LowFail",4,"1","yes","no","no","yes","2","yes"
"154",18,"F",7,0,"HighFail",0,"1","no","yes","yes","no","3","yes"
"155",18,"F",8,8,"HighFail",0,"1","no","yes","yes","yes","2","yes"
"156",18,"F",18,18,"HighPass",5,"1","no","yes","yes","no","3","yes"
"157",18,"F",9,10,"HighFail",0,"1","no","yes","yes","yes","3","yes"
"158",18,"F",11,10,"LowFail",4,"1","no","no","yes","no","3","yes"
"159",18,"F",15,14,"HighPass",4,"1","no","yes","yes","yes","4","yes"
"160",18,"F",13,13,"HighPass",7,"1","no","no","no","no","3","yes"
"161",18,"F",7,0,"HighFail",0,"1","no","no","no","yes","2","yes"
"162",18,"F",9,10,"LowFail",9,"1","no","yes","yes","yes","3","yes"
"163",18,"F",14,13,"HighPass",0,"1","no","yes","yes","no","4","yes"
"164",18,"F",17,18,"HighPass",21,"1","no","yes","yes","no","2","yes"
"165",18,"F",9,8,"LowFail",15,"2","yes","no","yes","yes","2","yes"
"166",18,"F",11,11,"LowPass",2,"1","no","yes","yes","no","2","yes"
"167",18,"F",12,10,"LowPass",14,"1","no","no","yes","no","2","yes"
"168",18,"F",11,11,"LowPass",2,"1","no","yes","yes","no","2","yes"
"169",18,"F",8,8,"HighFail",0,"1","no","no","no","yes","2","yes"
"170",18,"F",16,15,"HighPass",7,"1","no","no","yes","no","4","yes"
"171",18,"F",10,8,"LowFail",10,"1","no","yes","yes","no","2","yes"
"172",15,"M",9,9,"LowFail",8,"1","no","no","no","yes","2","yes"
"173",15,"M",11,8,"LowFail",2,"1","yes","yes","no","yes","2","yes"
"174",15,"M",9,0,"HighFail",0,"1","no","no","yes","no","2","yes"
"175",15,"M",17,16,"HighPass",0,"1","no","no","yes","yes","2","yes"
"176",15,"M",10,13,"LowPass",6,"1","no","yes","yes","yes","4","yes"
"177",15,"M",14,16,"HighPass",0,"1","no","no","yes","no","3","yes"
"178",15,"M",16,18,"HighPass",0,"1","no","yes","yes","yes","2","yes"
"179",15,"M",13,13,"LowPass",4,"1","no","no","yes","yes","4","yes"
"180",15,"M",12,12,"LowPass",2,"1","no","yes","yes","no","1","yes"
"181",15,"M",8,8,"LowPass",0,"1","yes","no","yes","no","1","yes"
"182",15,"M",16,14,"HighPass",6,"1","no","yes","yes","yes","4","yes"
"183",15,"M",11,10,"LowPass",4,"1","yes","yes","no","no","3","yes"
"184",15,"M",10,12,"LowPass",2,"1","yes","yes","yes","yes","1","yes"
"185",15,"M",14,15,"HighPass",0,"1","no","yes","yes","yes","2","yes"
"186",15,"M",14,13,"LowPass",6,"1","no","no","no","no","1","yes"
"187",15,"M",13,13,"LowPass",0,"1","yes","no","no","no","1","yes"
"188",15,"M",11,11,"LowFail",8,"1","no","no","no","yes","4","yes"
"189",15,"M",15,16,"HighPass",4,"1","no","yes","no","no","1","yes"
"190",15,"M",10,10,"LowFail",0,"1","no","no","no","no","4","yes"
"191",15,"M",15,15,"HighPass",2,"1","no","yes","yes","no","2","yes"
"192",15,"M",10,10,"LowPass",2,"1","no","yes","yes","no","2","yes"
"193",15,"M",9,9,"LowFail",6,"1","no","yes","yes","yes","2","yes"
"194",15,"M",13,14,"HighPass",0,"1","no","no","no","no","2","yes"
"195",15,"M",7,9,"HighFail",0,"1","yes","no","yes","no","4","yes"
"196",15,"M",12,15,"HighPass",0,"1","no","yes","yes","no","1","yes"
"197",15,"M",9,11,"LowPass",0,"1","no","yes","yes","no","2","yes"
"198",15,"M",11,13,"HighPass",2,"1","no","no","yes","yes","2","yes"
"199",15,"M",10,13,"HighPass",4,"1","no","no","yes","yes","1","yes"
"200",15,"M",17,16,"HighPass",0,"1","no","no","yes","yes","2","yes"
"201",15,"M",19,18,"HighPass",2,"1","no","no","yes","yes","2","yes"
"202",15,"M",14,15,"HighPass",4,"1","no","no","yes","yes","2","yes"
"203",15,"M",8,9,"LowFail",0,"4","no","no","no","no","1","yes"
"204",15,"M",16,18,"HighPass",0,"1","no","yes","yes","no","2","yes"
"205",15,"M",11,11,"LowFail",6,"2","no","no","no","no","1","yes"
"206",15,"M",18,19,"HighPass",6,"1","no","no","no","yes","1","yes"
"207",15,"M",9,10,"LowFail",2,"1","yes","no","yes","yes","2","yes"
"208",15,"M",11,13,"HighPass",6,"1","no","no","yes","yes","4","yes"
"209",15,"M",15,15,"HighPass",4,"1","no","yes","no","yes","2","yes"
"210",15,"M",8,10,"LowPass",0,"1","no","no","no","yes","2","yes"
"211",15,"M",18,19,"HighPass",10,"1","no","no","no","no","1","yes"
"212",15,"M",15,16,"HighPass",2,"1","no","no","yes","yes","3","yes"
"213",15,"M",14,14,"HighPass",2,"1","no","yes","yes","yes","1","yes"
"214",15,"M",12,12,"LowPass",8,"1","no","no","yes","no","1","yes"
"215",16,"M",15,16,"HighPass",7,"1","no","no","yes","yes","3","yes"
"216",16,"M",8,9,"LowFail",0,"1","no","no","no","yes","1","yes"
"217",16,"M",17,15,"HighPass",2,"1","no","no","no","no","1","yes"
"218",16,"M",8,9,"LowFail",8,"1","no","no","yes","yes","1","yes"
"219",16,"M",10,8,"LowFail",10,"1","no","no","yes","yes","1","yes"
"220",16,"M",11,15,"HighPass",2,"1","yes","no","yes","yes","1","yes"
"221",16,"M",18,18,"HighPass",8,"1","no","yes","no","yes","1","yes"
"222",16,"M",9,9,"LowFail",8,"1","no","yes","yes","yes","1","yes"
"223",16,"M",13,15,"HighPass",0,"1","no","yes","no","no","1","yes"
"224",16,"M",13,15,"HighPass",2,"1","no","yes","yes","yes","2","yes"
"225",16,"M",11,12,"LowPass",2,"1","no","yes","yes","yes","1","yes"
"226",16,"M",18,18,"HighPass",6,"1","no","no","no","no","1","yes"
"227",16,"M",10,10,"LowFail",4,"1","no","no","no","no","2","no"
"228",16,"M",11,10,"LowFail",12,"2","no","yes","no","yes","2","yes"
"229",16,"M",13,14,"HighPass",0,"1","no","no","no","no","1","yes"
"230",16,"M",12,12,"HighPass",2,"1","no","no","no","yes","1","yes"
"231",16,"M",13,15,"HighPass",0,"1","no","yes","yes","no","4","yes"
"232",16,"M",11,9,"LowFail",10,"1","no","no","no","yes","3","yes"
"233",16,"M",12,14,"HighPass",0,"1","no","yes","yes","no","1","yes"
"234",16,"M",7,10,"LowFail",6,"1","yes","no","yes","no","2","yes"
"235",16,"M",10,12,"LowPass",4,"2","no","yes","yes","no","2","yes"
"236",16,"M",13,14,"LowPass",0,"1","no","no","no","yes","1","yes"
"237",16,"M",16,18,"HighPass",2,"1","no","no","yes","yes","3","yes"
"238",16,"M",16,18,"HighPass",2,"1","no","no","yes","yes","3","yes"
"239",16,"M",12,13,"LowPass",2,"1","no","yes","no","yes","2","yes"
"240",16,"M",12,13,"LowPass",2,"1","no","yes","no","yes","2","yes"
"241",16,"M",6,5,"HighFail",0,"3","no","no","yes","yes","1","yes"
"242",16,"M",19,19,"HighPass",4,"1","no","no","no","yes","4","yes"
"243",16,"M",9,8,"LowFail",10,"1","no","yes","yes","yes","2","yes"
"244",16,"M",14,11,"LowPass",18,"1","no","no","yes","yes","1","yes"
"245",16,"M",14,13,"LowPass",2,"1","no","yes","yes","yes","2","yes"
"246",16,"M",13,12,"LowPass",0,"1","no","no","no","yes","1","yes"
"247",16,"M",13,12,"LowPass",0,"1","no","no","no","yes","1","yes"
"248",16,"M",7,7,"HighFail",14,"1","yes","yes","yes","yes","1","yes"
"249",16,"M",16,17,"HighPass",0,"1","no","no","yes","yes","3","yes"
"250",16,"M",7,6,"HighFail",0,"1","no","no","yes","no","1","no"
"251",16,"M",7,6,"HighFail",0,"1","no","no","yes","no","1","no"
"252",16,"M",15,15,"HighPass",2,"1","no","no","yes","yes","2","yes"
"253",16,"M",15,15,"HighPass",2,"1","no","no","yes","yes","2","yes"
"254",16,"M",10,12,"LowPass",16,"1","no","yes","yes","yes","2","yes"
"255",16,"M",11,11,"LowPass",4,"1","yes","no","yes","yes","2","yes"
"256",16,"M",8,6,"HighFail",18,"1","no","no","yes","no","2","yes"
"257",16,"M",9,7,"HighFail",18,"1","no","yes","yes","no","2","yes"
"258",16,"M",14,12,"LowPass",0,"2","no","no","no","no","2","yes"
"259",16,"M",12,13,"HighPass",6,"2","no","no","no","yes","1","yes"
"260",16,"M",15,15,"HighPass",0,"1","no","yes","no","yes","2","yes"
"261",16,"M",12,12,"LowPass",0,"1","no","no","no","no","2","yes"
"262",16,"M",13,13,"LowPass",0,"1","no","no","yes","yes","2","yes"
"263",16,"M",9,9,"LowFail",8,"3","no","no","yes","yes","1","yes"
"264",16,"M",15,15,"HighPass",2,"1","no","no","no","yes","2","yes"
"265",16,"M",8,10,"LowFail",4,"1","no","yes","no","yes","1","yes"
"266",16,"M",15,15,"HighPass",10,"1","no","yes","yes","yes","2","yes"
"267",16,"M",6,0,"HighFail",0,"1","no","no","no","yes","1","yes"
"268",17,"M",15,14,"HighPass",2,"1","no","yes","yes","yes","2","yes"
"269",17,"M",8,9,"LowFail",4,"1","no","no","no","no","2","yes"
"270",17,"M",9,7,"LowFail",20,"2","no","no","yes","yes","2","yes"
"271",17,"M",8,12,"LowPass",0,"1","no","no","no","no","1","yes"
"272",17,"M",11,11,"LowPass",4,"1","no","yes","yes","yes","2","yes"
"273",17,"M",11,10,"LowFail",8,"1","no","no","yes","no","1","yes"
"274",17,"M",10,0,"HighFail",0,"1","no","no","no","no","2","yes"
"275",17,"M",10,11,"LowPass",2,"1","no","yes","yes","no","2","yes"
"276",17,"M",5,8,"HighFail",0,"4","no","no","no","yes","2","no"
"277",17,"M",16,12,"LowPass",8,"1","no","no","no","no","1","yes"
"278",17,"M",7,6,"HighFail",0,"3","no","no","no","yes","1","no"
"279",17,"M",12,10,"LowPass",2,"1","no","yes","no","no","2","yes"
"280",17,"M",7,8,"LowFail",12,"1","no","yes","no","yes","2","yes"
"281",17,"M",5,0,"HighFail",0,"4","no","no","yes","no","1","yes"
"282",17,"M",5,0,"HighFail",0,"4","no","no","yes","no","1","yes"
"283",17,"M",8,8,"LowFail",2,"4","yes","no","yes","yes","1","no"
"284",17,"M",8,8,"LowFail",2,"4","yes","no","yes","yes","1","no"
"285",17,"M",12,12,"LowPass",4,"1","no","no","no","no","1","yes"
"286",17,"M",9,9,"LowFail",2,"1","no","yes","no","yes","2","yes"
"287",17,"M",6,5,"HighFail",16,"4","no","no","yes","yes","1","yes"
"288",17,"M",14,12,"LowPass",4,"1","no","yes","yes","no","1","yes"
"289",17,"M",6,5,"HighFail",4,"1","no","no","no","yes","2","yes"
"290",17,"M",14,15,"HighPass",3,"1","no","no","no","yes","1","yes"
"291",17,"M",12,12,"LowPass",12,"1","no","no","yes","yes","2","yes"
"292",17,"M",10,10,"LowPass",4,"1","no","no","yes","yes","2","yes"
"293",17,"M",17,15,"HighPass",4,"1","no","no","no","no","1","yes"
"294",17,"M",11,9,"LowFail",14,"1","yes","no","yes","yes","2","yes"
"295",17,"M",11,9,"LowFail",19,"2","no","no","no","no","1","yes"
"296",17,"M",8,8,"LowFail",30,"1","no","yes","no","yes","1","yes"
"297",17,"M",7,9,"LowFail",2,"2","no","no","yes","yes","1","yes"
"298",17,"M",14,13,"LowPass",4,"1","no","yes","no","yes","2","yes"
"299",17,"M",12,11,"LowPass",2,"1","no","yes","yes","no","2","yes"
"300",17,"M",12,12,"LowPass",14,"1","no","no","no","yes","2","yes"
"301",17,"M",10,9,"LowFail",4,"1","no","yes","no","yes","2","yes"
"302",17,"M",11,11,"LowFail",0,"1","no","yes","no","no","1","yes"
"303",17,"M",12,12,"LowPass",13,"1","no","yes","yes","no","2","yes"
"304",17,"M",13,11,"LowFail",0,"1","no","yes","yes","yes","2","yes"
"305",18,"M",13,12,"LowPass",1,"1","no","no","no","yes","3","yes"
"306",18,"M",16,15,"HighPass",9,"1","no","no","no","no","3","yes"
"307",18,"M",17,17,"HighPass",13,"1","no","yes","yes","yes","2","yes"
"308",18,"M",14,13,"HighPass",8,"1","no","yes","yes","yes","3","yes"
"309",18,"M",3,5,"HighFail",8,"2","no","no","yes","no","2","yes"
"310",18,"M",15,14,"HighPass",8,"1","no","no","no","yes","2","yes"
"311",18,"M",6,9,"LowFail",4,"2","no","no","no","no","1","no"
"312",18,"M",15,14,"HighPass",6,"1","no","yes","no","yes","3","yes"
"313",18,"M",12,13,"LowPass",0,"1","no","yes","yes","no","2","yes"
"314",18,"M",7,7,"HighFail",0,"2","no","no","no","no","2","no"
"315",18,"M",6,7,"LowFail",15,"2","no","yes","yes","yes","2","yes"
"316",18,"M",6,8,"LowFail",0,"2","no","no","no","no","1","no"
"317",18,"M",10,9,"LowFail",10,"1","no","yes","yes","yes","2","yes"
"318",18,"M",12,11,"LowPass",11,"1","no","yes","yes","yes","2","yes"
"319",18,"M",8,8,"LowFail",2,"1","no","yes","yes","no","2","yes"
"320",18,"M",10,10,"LowFail",0,"1","no","yes","yes","no","3","yes"
"321",18,"M",9,12,"LowPass",3,"1","no","no","no","yes","3","yes"
"322",18,"M",9,9,"LowFail",22,"1","no","yes","no","yes","1","yes"
"323",18,"M",9,9,"LowFail",22,"1","no","yes","no","yes","1","yes"
"324",18,"M",10,10,"HighFail",0,"2","no","no","yes","yes","2","yes"
"325",18,"M",10,10,"HighFail",0,"2","no","no","yes","yes","2","yes"
"326",18,"M",15,13,"HighPass",9,"1","no","yes","yes","yes","2","yes"
"327",18,"M",6,5,"HighFail",0,"4","no","no","no","no","1","no"
"328",18,"M",10,8,"LowFail",14,"1","yes","yes","yes","yes","2","yes"
"329",18,"M",9,8,"LowFail",2,"1","no","no","yes","yes","4","yes"
"330",18,"M",6,6,"LowFail",13,"2","no","yes","yes","no","2","yes"
"331",18,"M",16,15,"HighPass",11,"1","no","no","no","yes","2","yes"
"332",18,"M",10,11,"LowFail",8,"1","no","yes","no","yes","1","yes"
"333",18,"M",16,15,"HighPass",5,"1","no","yes","yes","no","1","yes"
"334",17,"F",7,6,"HighFail",0,"2","no","yes","yes","no","1","yes"
"335",17,"F",6,5,"HighFail",14,"1","no","no","no","yes","1","yes"
"336",17,"F",12,11,"LowPass",0,"1","no","no","no","no","2","yes"
"337",17,"F",10,10,"LowFail",17,"1","no","yes","yes","yes","2","yes"
"338",17,"F",12,13,"LowPass",4,"1","no","yes","yes","yes","2","yes"
"339",17,"F",13,11,"LowPass",8,"1","no","no","no","yes","3","yes"
"340",17,"F",12,12,"LowPass",2,"1","no","no","no","no","2","yes"
"341",17,"F",16,15,"HighPass",0,"1","no","yes","yes","yes","2","yes"
"342",18,"F",8,8,"LowFail",2,"1","no","no","no","no","3","yes"
"343",18,"F",10,9,"LowFail",2,"1","no","yes","no","no","3","yes"
"344",18,"F",14,12,"LowPass",10,"1","no","yes","yes","no","2","yes"
"345",18,"F",6,5,"HighFail",7,"1","no","yes","yes","yes","1","yes"
"346",18,"F",19,18,"HighPass",0,"1","no","no","no","no","3","yes"
"347",18,"F",8,9,"LowFail",4,"1","no","yes","no","yes","2","yes"
"348",18,"F",6,5,"HighFail",0,"2","no","no","no","yes","2","yes"
"349",18,"F",6,5,"HighFail",0,"2","no","no","no","yes","2","yes"
"350",18,"F",11,10,"LowFail",0,"1","no","yes","yes","no","1","yes"
"351",18,"F",15,15,"HighPass",0,"1","no","yes","no","no","2","yes"
"352",18,"F",10,9,"LowFail",0,"1","no","no","yes","no","2","yes"
"353",18,"F",11,11,"LowFail",0,"1","no","no","yes","no","2","yes"
"354",18,"F",18,16,"HighPass",0,"1","no","no","no","no","3","yes"
"355",18,"F",7,9,"LowFail",0,"1","no","yes","yes","no","2","yes"
"356",17,"M",13,11,"LowPass",4,"1","no","yes","yes","yes","2","yes"
"357",17,"M",11,11,"LowFail",2,"1","no","no","no","yes","2","yes"
